Train Loss,Test Loss,Replicate,Size,Attempts
0.011434189975261688,0.023784473538398743,18,15,4
0.01215952169150114,0.031200570985674858,19,15,4
0.01181910652667284,0.025710884481668472,20,15,2
0.011823169887065887,0.029632501304149628,21,15,1
0.012144566513597965,0.032324954867362976,22,15,12
0.011504039168357849,0.03371014446020126,23,15,1
0.011450264602899551,0.032833199948072433,24,15,1
0.012060395441949368,0.02952231653034687,25,15,3
,,26,15,2
0.011220136657357216,0.022991884499788284,27,15,5
0.011400184594094753,0.02938755229115486,28,15,1
0.011479822918772697,0.02885761670768261,29,15,5
0.011464736424386501,0.03054351545870304,30,15,2
0.012622306123375893,0.03290678933262825,31,15,6
0.013409759849309921,0.029825782403349876,32,15,2
0.011278818361461163,0.025297142565250397,33,15,1
0.012433739379048347,0.03607374057173729,34,15,1
0.011719678528606892,0.03354024142026901,35,15,1
0.012737520039081573,0.03132312372326851,36,15,1
0.01193181797862053,0.03332574665546417,37,15,5
0.011943656019866467,0.031200911849737167,38,15,2
,,39,15,2
7.6975603103637695,7.717004299163818,40,15,3
0.011203127913177013,0.029373399913311005,41,15,1
0.01159929670393467,0.029319699853658676,42,15,1
0.011735264211893082,0.03116997703909874,43,15,3
0.01161469891667366,0.03008115105330944,44,15,2
0.012242577038705349,0.02646198309957981,45,15,1
1.4066475629806519,1.3804278373718262,46,15,1
0.011926324106752872,0.03499560430645943,47,15,1
0.011438784189522266,0.0341004841029644,48,15,1
0.011651532724499702,0.02910555526614189,49,15,1
,,0,20,6
0.012008699588477612,0.030806927010416985,1,20,6
23.63471794128418,23.675527572631836,2,20,1
0.012087199836969376,0.03461477905511856,3,20,17
0.014433255419135094,0.040078770369291306,4,20,8
0.011716200038790703,0.035232607275247574,5,20,15
0.013004493899643421,0.03698738291859627,6,20,4
0.011876774951815605,0.03741983696818352,7,20,2
,,8,20,2
0.012761058285832405,0.03883067145943642,9,20,6
0.019131220877170563,0.04242866858839989,10,20,1
0.012808946892619133,0.036897800862789154,11,20,2
0.011558844707906246,0.03726629167795181,12,20,19
0.012642668560147285,0.036848925054073334,13,20,2
0.012510574422776699,0.040022317320108414,14,20,9
0.011726057156920433,0.038004372268915176,15,20,11
0.014229312539100647,0.0425209142267704,16,20,2
0.013018179684877396,0.04217233508825302,17,20,4
3.257692337036133,3.051813840866089,18,20,2
0.0122521398589015,0.0377047099173069,19,20,7
0.016411148011684418,0.03821578249335289,20,20,2
0.011892838403582573,0.035097308456897736,21,20,6
0.012535296380519867,0.03867442160844803,22,20,2
0.011333056725561619,0.03591965138912201,23,20,3
0.012483849190175533,0.03568095713853836,24,20,3
26.563396453857422,26.06822395324707,25,20,11
,,26,20,7
0.012162670493125916,0.03337214142084122,27,20,1
16.46102523803711,16.263992309570312,28,20,5
0.016540858894586563,0.037009347230196,29,20,1
27.789661407470703,27.84014320373535,30,20,3
0.012026448734104633,0.03735164925456047,31,20,8
0.01131639163941145,0.038870565593242645,32,20,1
2.4044716358184814,2.3375840187072754,33,20,10
0.01292556431144476,0.03538591042160988,34,20,1
0.028299277648329735,0.05624531954526901,35,20,1
,,36,20,3
0.012263449840247631,0.037370361387729645,37,20,8
