width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
15.0,32.0,0.1,27.0,0.0003790689997077064,1.4994313965004384,1.5,5.534677998397797e-05,3.000166040339952,3.0,7.497479005458274e-05,0.9999250252099454,1.0
15.0,64.0,0.1,27.0,0.0011612857399141419,1.4982580713901288,1.5,0.0005640784964140444,2.998307764510758,3.0,0.0003534937072826594,0.9996465062927173,1.0
25.0,32.0,0.1,17.0,0.0007645340561971045,1.4988531989157043,1.5,0.00031770178101779106,3.0009531053430534,3.0,0.0002269404781047868,0.9997730595218952,1.0
5.0,64.0,0.1,24.0,0.00014635763720220277,1.5002195364558033,1.5,0.0011941942551446278,3.003582582765434,3.0,0.0008747346344000206,1.0008747346344,1.0
15.0,32.0,0.1,26.0,0.0006009757448029637,1.4990985363827956,1.5,0.0002869196652267962,3.0008607589956804,3.0,0.0011423781321635573,0.9988576218678364,1.0
15.0,32.0,0.1,21.0,0.0008717951943923256,1.4986923072084115,1.5,0.00046323654432386024,3.0013897096329716,3.0,0.002141660510526444,0.9978583394894736,1.0
25.0,64.0,0.1,19.0,0.000823269203552357,1.4987650961946715,1.5,0.0001592022216387138,3.000477606664916,3.0,0.003174769653283893,0.9968252303467161,1.0
15.0,64.0,0.1,30.0,0.0006894832864314063,1.501034224929647,1.5,0.00039304328497843005,2.9988208701450647,3.0,0.0005461120348373427,0.9994538879651627,1.0
15.0,32.0,0.1,5.0,0.0013244782416799161,1.5019867173625199,1.5,0.00011357363431866811,3.000340720902956,3.0,0.001966213995469701,1.0019662139954697,1.0
5.0,64.0,0.1,7.0,0.0008695375630251393,1.5013043063445377,1.5,0.00011496684628150196,2.9996550994611555,3.0,0.0007546959899975558,0.9992453040100024,1.0
15.0,32.0,0.1,29.0,0.0006514117459905933,1.499022882381014,1.5,0.000448636360975474,2.9986540909170736,3.0,0.00033608649052074835,0.9996639135094793,1.0
5.0,64.0,0.1,22.0,0.0008670382232236484,1.5013005573348355,1.5,0.00010730056322113175,3.0003219016896634,3.0,3.3891207082747954e-05,0.9999661087929173,1.0
5.0,64.0,0.1,16.0,0.0004504021876180116,1.499324396718573,1.5,0.0008059617264652985,2.997582114820604,3.0,0.00026020905127377425,0.9997397909487262,1.0
15.0,64.0,0.1,2.0,0.0013414422763933231,1.49798783658541,1.5,0.0011060520954798332,3.0033181562864395,3.0,0.0009432736641532546,1.0009432736641533,1.0
15.0,32.0,0.1,22.0,0.0007837704021344353,1.5011756556032017,1.5,0.00035369930492127705,2.998938902085236,3.0,0.002828433698859989,1.00282843369886,1.0
25.0,32.0,0.1,22.0,0.0009070900335466092,1.50136063505032,1.5,0.0007118166930449495,2.997864549920865,3.0,0.00017657263672132828,1.0001765726367213,1.0
25.0,32.0,0.1,4.0,0.0015600564296307518,1.4976599153555539,1.5,0.0011944123213266284,3.00358323696398,3.0,0.002574030590494658,1.0025740305904947,1.0
5.0,64.0,0.1,21.0,0.000785602061019001,1.4988215969084715,1.5,0.0006395798393588059,3.0019187395180764,3.0,0.001656229425608502,0.9983437705743915,1.0
5.0,32.0,0.1,9.0,0.00018360932336506744,1.5002754139850476,1.5,0.00026182302731673585,2.99921453091805,3.0,1.1704599589767994e-05,1.0000117045995898,1.0
25.0,32.0,0.1,18.0,0.0006227056682783783,1.4990659414975824,1.5,0.0001401426836199112,2.9995795719491403,3.0,0.002181247055747626,1.0021812470557476,1.0
5.0,32.0,0.1,22.0,0.0010408122165427673,1.5015612183248142,1.5,0.0009527780450354998,2.9971416658648935,3.0,0.001540520371166032,1.001540520371166,1.0
15.0,64.0,0.1,28.0,1.3568175211512804e-05,1.4999796477371827,1.5,0.0002582971331028065,2.9992251086006916,3.0,0.0012947174203751244,0.9987052825796249,1.0
5.0,32.0,0.1,23.0,0.0008061639703993428,1.498790754044401,1.5,0.0003363891009144915,2.9989908326972565,3.0,0.0006900631719874983,1.0006900631719875,1.0
5.0,64.0,0.1,2.0,0.001687058964393066,1.4974694115534104,1.5,0.00023144245239103967,2.999305672642827,3.0,0.0016327537975775464,1.0016327537975775,1.0
25.0,32.0,0.1,26.0,0.00038726575531603896,1.499419101367026,1.5,0.000869198251161496,3.0026075947534845,3.0,0.0013080741997044676,1.0013080741997045,1.0
