width,batch-time,learning-rate,replicate,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
15.0,32.0,0.1,20.0,0.6898154906786265,0.7754612733034338,2.5,0.23272699926323895,4.603638004420566,6.0,0.45082067712734686,8.78686916596245,16.0,0.11577319783536907,88.42268021646309,100,0.473125894010077,0.6743988556671014,1.28,0.19952207340349762,9.605735119158028,12.0,3.2758024788830165,7.696444461989429,1.8,0.085187410194699,11.892563667468913,13.0,0.4512751707506803,0.05487248292493197,0.1,0.04105040809797256,0.9589495919020274,1.0,0.09522311470245648,4.380892458809826,4.0
5.0,32.0,0.1,21.0,0.2284471995115175,1.9288820012212062,2.5,0.07103337786743118,6.426200267204587,6.0,0.44125295213174587,8.939952765892066,16.0,0.04430580947527062,95.56941905247294,100,0.09724545547501721,1.404474183008022,1.28,0.48728721313031415,6.15255344243623,12.0,2.036028360168775,5.464851048303795,1.8,0.28583582522267525,9.284134272105222,13.0,1.6029734468405112,0.26029734468405114,0.1,0.2421548729902765,0.7578451270097235,1.0,0.08732828113777624,4.349313124551105,4.0
15.0,32.0,0.1,30.0,0.11591795424623133,2.2102051143844217,2.5,0.008895180083981824,6.053371080503891,6.0,0.44587820326473404,8.865948747764255,16.0,0.026410709948888354,97.35892900511116,100,0.21973349063609068,1.561258868014196,1.28,0.2788189592790659,8.65417248865121,12.0,2.919299446196102,7.054739003152983,1.8,0.18929811384031703,10.539124520075879,13.0,2.255648355539932,0.32556483555399324,0.1,0.23110272246679242,0.7688972775332076,1.0,0.07256667646034032,4.290266705841361,4.0
5.0,64.0,0.1,13.0,0.5498962671197513,1.125259332200622,2.5,0.16165405444825534,5.030075673310468,6.0,0.6090000900358458,6.255998559426468,16.0,0.03850727441451738,96.14927255854826,100,0.6852888231904617,2.157169693683791,1.28,0.5430733497400281,5.483119803119663,12.0,2.278745686359502,5.901742235447103,1.8,0.2509413427380879,9.737762544404857,13.0,1.2209647114284323,0.22209647114284325,0.1,0.12645101574432804,0.873548984255672,1.0,0.3046233562685252,5.218493425074101,4.0
25.0,64.0,0.1,6.0,0.26481409570618275,1.837964760734543,2.5,0.33128204779785114,4.012307713212893,6.0,0.4692661345854823,8.491741846632284,16.0,0.09918497645621556,90.08150235437844,100,0.09827108174353896,1.1542130153682701,1.28,0.013367072583053622,12.160404870996643,12.0,2.220824443959927,5.797483999127868,1.8,0.23660408849886494,9.924146849514756,13.0,5.4724349558663485,0.6472434955866349,0.1,0.0992539949667599,0.9007460050332401,1.0,0.06722254500055369,4.268890180002215,4.0
5.0,32.0,0.1,29.0,0.5049771436472895,1.2375571408817763,2.5,0.4059374907222155,3.564375055666707,6.0,0.41875972837637154,9.299844345978055,16.0,0.006596127632439135,99.34038723675609,100,0.02944403127972603,1.2423116399619507,1.28,0.5220528654744078,5.735365614307106,12.0,2.9548671017495054,7.11876078314911,1.8,0.3071333684207881,9.007266210529755,13.0,1.596524541597775,0.2596524541597775,0.1,0.24813062494728277,1.2481306249472828,1.0,0.06645144250112156,4.265805770004486,4.0
25.0,32.0,0.1,15.0,0.5183517485070287,1.2041206287324282,2.5,0.4665230709551326,3.2008615742692044,6.0,0.4012372288323993,9.580204338681611,16.0,0.00585661834681531,99.41433816531847,100,0.36454090768096675,0.8133876381683626,1.28,0.2893223888674276,8.528131333590869,12.0,2.7842769630727604,6.8116985335309685,1.8,0.18681309558161902,10.571429757438953,13.0,5.719757843575254,0.6719757843575254,0.1,0.03996984009646409,1.039969840096464,1.0,0.022555722706271597,4.090222890825086,4.0
5.0,64.0,0.1,29.0,0.2342985633534523,1.9142535916163692,2.5,0.05212850324820669,5.68722898051076,6.0,0.628733393436544,5.940265705015297,16.0,0.01597091183381906,98.4029088166181,100,0.2708415172843417,1.6266771421239574,1.28,0.5244570553500522,5.706515335799374,12.0,3.06687471965943,7.320374495386974,1.8,0.26731877081348,9.52485597942476,13.0,0.7535504215604899,0.175355042156049,0.1,0.2810111524333283,0.7189888475666717,1.0,0.299813307732508,5.199253230930032,4.0
15.0,64.0,0.1,15.0,0.620360615127734,0.949098462180665,2.5,0.0066531436121300596,6.03991886167278,6.0,0.5475682556736692,7.238907909221292,16.0,0.09616883252874019,109.61688325287402,100,0.3844542362036265,1.772101422340642,1.28,0.5372209764127314,5.553348283047224,12.0,1.0635940588311918,3.7144693058961455,1.8,0.07043862492648884,12.084297875955645,13.0,2.720943913815893,0.3720943913815893,0.1,0.26416148969897246,0.7358385103010275,1.0,0.23823777644395472,4.952951105775819,4.0
5.0,64.0,0.1,3.0,0.378928679544543,1.5526783011386425,2.5,0.4023663723413948,3.5858017659516315,6.0,0.5699592772364532,6.880651564216748,16.0,0.09141064545476865,90.85893545452313,100,0.16750921434052732,1.494411794355875,1.28,0.46018910813549146,6.477730702374102,12.0,2.6037795964991592,6.486803273698486,1.8,0.20047920503480585,10.393770334547524,13.0,1.3462035415082507,0.23462035415082508,0.1,0.011202395568282064,1.011202395568282,1.0,0.18841805682345258,4.75367222729381,4.0
