width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
5.0,64.0,0.1,13.0,0.6614512801170349,0.6023448705673218,0.1901690512895584,0.2863926589488983,0.287314236164093,0.7558714747428894,0.047497645020484924,0.04283352196216583,0,0,0,0,0.0037865875091105394,1.8093974197747025
25.0,64.0,0.1,6.0,22.908254623413086,47.3790283203125,0.2658006250858307,0.8663588762283325,0.20948411524295807,0.5741885304450989,0.036346908658742905,0.032842159271240234,0,0,0,0,0.006240891802628545,1.9070210377470198
5.0,32.0,0.1,29.0,7.067990779876709,11.140024185180664,0.499687135219574,1.0536879301071167,0.055866826325654984,0.050716303288936615,0.049233123660087585,0.03972078487277031,0,0,0,0,0.005651074215796914,18.22251902524865
25.0,32.0,0.1,15.0,0.640624463558197,0.572562038898468,0.3481462895870209,1.168444275856018,0.07235982269048691,0.08340922743082047,0.0437873899936676,0.06323236227035522,0,0,0,0,0.0026035122369245656,18.15042435637356
5.0,64.0,0.1,29.0,0.7355206608772278,,0.17823852598667145,0.20864459872245789,0.16686108708381653,0.3404262065887451,0.056382033973932266,0.05797359347343445,0,0,0,0,0.0032784375716617964,1.37709736940594
15.0,64.0,0.1,15.0,0.6428327560424805,0.595740556716919,0.19028112292289734,0.392922967672348,0.19957494735717773,0.41307705640792847,0.05558321252465248,0.059312958270311356,0,0,0,0,0.00629008275946541,2.0968036440667426
5.0,64.0,0.1,3.0,0.6651282906532288,0.6005087494850159,0.17918644845485687,0.34937384724617004,0.16624581813812256,0.2875351905822754,0.05576179549098015,0.057030368596315384,0,0,0,0,0.0016569425566608231,0.8402722001161604
15.0,64.0,0.1,11.0,0.6621660590171814,0.6130861639976501,0.19730022549629211,240012.609375,0.21041609346866608,0.310840368270874,0.040189385414123535,0.03890640661120415,0,0,0,0,0.003043774773595964,1.4381667989618707
25.0,64.0,0.1,4.0,0.7082949876785278,0.5944218039512634,0.18834902346134186,0.40616708993911743,0.1700756996870041,0.37175026535987854,0.053456876426935196,0.05596990883350372,0,0,0,0,0.0019157177983943896,1.58305721345319
25.0,32.0,0.1,6.0,0.6682949066162109,0.5975545048713684,0.3298366367816925,1.1088758707046509,0.06614669412374496,0.1246786043047905,0.04496384784579277,0.032566044479608536,0,0,0,0,0.0025777895023568753,16.561076998966193
15.0,64.0,0.1,16.0,0.6209599375724792,0.5745894312858582,0.17504748702049255,0.34973883628845215,0.14925333857536316,0.33402588963508606,0.049404971301555634,0.05374482274055481,0,0,0,0,0.006730022282466663,0.6930177612253197
25.0,32.0,0.1,8.0,0.6581228971481323,0.5678324103355408,0.601396381855011,0.971775233745575,0.060526032000780106,0.07131912559270859,0.05101923272013664,0.05515443906188011,0,0,0,0,0.0028020405785569302,17.569866978799116
15.0,64.0,0.1,4.0,7.3744049072265625,9.072450637817383,0.26850107312202454,1.003717303276062,0.2171655148267746,0.43521082401275635,0.043168384581804276,0.030316175892949104,0,0,0,0,0.0029088997991097987,1.547499001961356
25.0,32.0,0.1,2.0,0.669310986995697,0.6049826741218567,0.3624570965766907,1.1190563440322876,0.07069385796785355,0.06224563345313072,0.04196840524673462,0.044410571455955505,0,0,0,0,0.006672333147238696,17.194676256577484
5.0,64.0,0.1,26.0,14.42123794555664,29.727664947509766,0.18152213096618652,0.6251415014266968,0.1609727144241333,0.27864575386047363,0.05050691217184067,0.03241441398859024,0,0,0,0,0.004374273937695405,1.2176351351699948
25.0,64.0,0.1,2.0,1.0567835569381714,1.3724942207336426,0.1676517277956009,0.4134370684623718,0.18158429861068726,1.240174412727356,0.031295500695705414,0.03965485095977783,0,0,0,0,0.003333699956313607,0.845689120820281
15.0,32.0,0.1,13.0,0.6716737151145935,0.5927363038063049,0.2918364107608795,,0.16591663658618927,0.4066925346851349,0.04119271785020828,0.036382999271154404,0,0,0,0,0.0023180048051041346,10.038829320303567
