width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
5.0,32.0,0.1,4.0,2.5532985492651146,5.329947823897672,1.5,0.0918875560332985,2.7243373319001045,3.0,0.10085900262947556,1.1008590026294756,1.0
15.0,64.0,0.1,3.0,0.5306742190426258,0.7039886714360613,1.5,0.26167153327942705,2.214985400161719,3.0,0.02095009659969116,1.0209500965996912,1.0
25.0,32.0,0.1,27.0,10.585862095361625,17.378793143042436,1.5,0.053426370763945,2.839720887708165,3.0,0.07893475328169308,1.078934753281693,1.0
5.0,32.0,0.1,26.0,9.747808105269916,16.121712157904874,1.5,0.06149195893470072,2.815524123195898,3.0,0.08717089338271533,1.0871708933827153,1.0
15.0,32.0,0.1,1.0,11.118543827646294,18.17781574146944,1.5,0.02293959537642687,2.9311812138707194,3.0,0.08509537302525416,1.0850953730252542,1.0
25.0,32.0,0.1,30.0,12.218106026617656,19.827159039926485,1.5,0.032790076699997485,2.9016297699000075,3.0,0.06929454991655248,1.0692945499165525,1.0
25.0,64.0,0.1,1.0,0.012484835453077844,1.4812727468203832,1.5,0.145218396616134,2.564344810151598,3.0,0.018286000994456986,1.018286000994457,1.0
25.0,64.0,0.1,25.0,0.12643552016384607,1.689653280245769,1.5,0.061210203737224265,2.816369388788327,3.0,0.17591977849380536,1.1759197784938054,1.0
15.0,32.0,0.1,17.0,10.45451935941661,17.181779039124915,1.5,0.04753937028025949,2.8573818891592215,3.0,0.07001326146767473,1.0700132614676747,1.0
15.0,64.0,0.1,1.0,0.4861084749501332,2.2291627124252,1.5,0.10118379804071183,2.6964486058778645,3.0,0.021151991108179558,0.9788480088918204,1.0
15.0,64.0,0.1,20.0,0.3980465217451514,0.9029302173822729,1.5,0.24734264769533562,2.257972056913993,3.0,0.003523241856688064,0.9964767581433119,1.0
25.0,64.0,0.1,23.0,0.09483200544761565,1.3577519918285765,1.5,0.0753970646077778,2.7738088061766666,3.0,0.10198491519999009,1.10198491519999,1.0
5.0,32.0,0.1,25.0,10.035106468370047,16.552659702555072,1.5,0.03944068825900645,2.8816779352229807,3.0,0.08444829198707104,1.084448291987071,1.0
15.0,64.0,0.1,8.0,2.733873956518071,-2.600810934777107,1.5,0.023859417632269658,3.071578252896809,3.0,1.3567159380350362,2.356715938035036,1.0
