width,batch-time,learning-rate,replicate,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
15.0,64.0,0.1,16.0,6.812441292147753e-06,2.5000170311032304,2.5,4.565912504676343e-06,6.000027395475028,6.0,7.99619436109289e-07,15.999987206089022,16.0,8.627318024423402e-08,100.00000862731802,100,3.08094109039217e-05,1.279960563954043,1.28,4.968519324854981e-07,11.99999403777681,12.0,1.303503366208621e-05,1.7999765369394083,1.8,1.0809146546036502e-06,13.00001405189051,13.0,6.731255133993197e-05,0.09999326874486601,0.1,1.670566988631883e-06,0.9999983294330114,1.0,3.8730906926076614e-08,4.000000154923628,4.0
25.0,32.0,0.1,8.0,1.345437973121477e-06,2.500003363594933,2.5,5.733220675985251e-07,6.000003439932406,6.0,2.3252119041305974e-07,15.999996279660953,16.0,2.538295406395719e-07,99.99997461704594,100,5.954580695015366e-06,1.2799923781367104,1.28,3.355751010995315e-06,11.999959730987868,12.0,9.150738716150957e-06,1.8000164713296891,1.8,2.9617365339727434e-07,13.000003850257494,13.0,2.4081204669235134e-05,0.10000240812046693,0.1,1.0509007046799468e-06,1.0000010509007047,1.0,1.7404330088233166e-08,3.9999999303826796,4.0
15.0,64.0,0.1,4.0,3.320991893929204e-06,2.500008302479735,2.5,6.606927486589124e-07,5.999996035843508,6.0,1.1980446146253598e-06,15.999980831286166,16.0,1.1942294406708243e-08,99.99999880577056,100,2.2328480231426084e-06,1.2799971419545304,1.28,9.230462108729872e-07,12.00001107655453,12.0,8.845203520365294e-06,1.7999840786336634,1.8,3.2818217463251094e-06,12.999957336317298,13.0,0.00019491831159818007,0.09998050816884019,0.1,1.5209131620785854e-06,1.000001520913162,1.0,3.45637839660462e-06,4.000013825513586,4.0
25.0,32.0,0.1,2.0,2.8456063358106577e-06,2.5000071140158395,2.5,2.022921645750131e-06,6.0000121375298745,6.0,2.684880783254684e-07,15.999995704190747,16.0,1.8487034949998815e-07,99.99998151296505,100,5.178866279743899e-06,1.279993371051162,1.28,3.2327785663236835e-07,11.99999612066572,12.0,1.094747111000475e-05,1.800019705447998,1.8,1.169850061744936e-06,13.000015208050803,13.0,2.9795208724842093e-05,0.10000297952087249,0.1,3.093255130415251e-05,1.0000309325513042,1.0,8.662465353914683e-07,4.000003464986142,4.0
5.0,64.0,0.1,26.0,3.1818586977649944e-06,2.5000079546467444,2.5,1.5409599788777464e-07,5.999999075424013,6.0,8.609401425108132e-07,16.00001377504228,16.0,1.5234281264042693e-07,100.00001523428126,100,9.341288214649579e-06,1.2799880431510853,1.28,1.3517777974018468e-06,12.000016221333569,12.0,6.653095468002313e-06,1.8000119755718424,1.8,1.4675598085143695e-06,12.99998092172249,13.0,6.285232973274324e-05,0.09999371476702673,0.1,9.535788097148057e-06,1.0000095357880971,1.0,4.421014732747253e-06,3.999982315941069,4.0
25.0,64.0,0.1,2.0,,,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
15.0,32.0,0.1,13.0,3.745634544749521e-06,2.499990635913638,2.5,1.4590295518424057e-06,5.999991245822689,6.0,2.806982724035123e-07,16.00000449117236,16.0,1.385882062265864e-07,100.00001385882062,100,7.45581939763651e-07,1.2799990456551171,1.28,2.28734244878126e-08,11.999999725518906,12.0,7.886712138052389e-06,1.7999858039181516,1.8,6.910613793346206e-07,12.999991016202069,13.0,7.759677866134296e-05,0.10000775967786614,0.1,1.891958579725017e-05,0.9999810804142027,1.0,4.063841692159009e-06,3.9999837446332314,4.0
15.0,32.0,0.1,7.0,1.2410681282659652e-06,2.4999968973296793,2.5,1.585642563028955e-06,5.999990486144622,6.0,6.41303035120444e-08,15.999998973915144,16.0,1.5055758225912541e-07,99.99998494424177,100,4.267590507714414e-06,1.2799945374841502,1.28,1.2077697961743183e-06,11.999985506762446,12.0,5.394283410694219e-06,1.8000097097101393,1.8,2.023750280517771e-06,12.999973691246353,13.0,0.00011767392202766125,0.09998823260779724,0.1,7.669632188234132e-06,0.9999923303678118,1.0,1.3366943996118152e-08,3.999999946532224,4.0
15.0,32.0,0.1,11.0,3.371550690722813e-06,2.499991571123273,2.5,3.8545967964154215e-06,6.0000231275807785,6.0,2.108019691027252e-07,15.999996627168494,16.0,1.3753555535345186e-07,99.99998624644446,100,9.483126556936172e-06,1.280012138401993,1.28,1.611837277426531e-06,12.00001934204733,12.0,8.41698017345966e-06,1.8000151505643123,1.8,4.1836996595306505e-07,12.999994561190443,13.0,8.819124275347145e-05,0.10000881912427535,0.1,1.3735469155395919e-06,1.0000013735469155,1.0,5.66474632446301e-06,4.000022658985298,4.0
5.0,32.0,0.1,24.0,3.601557510002351e-06,2.499990996106225,2.5,2.980480778180805e-06,6.000017882884669,6.0,4.206484172097902e-08,15.999999326962532,16.0,6.758281003271804e-08,99.999993241719,100,8.864935454634681e-06,1.280011347117382,1.28,1.2991897119600064e-06,11.999984409723456,12.0,8.468135790115936e-07,1.7999984757355578,1.8,1.8546274396577736e-08,13.000000241101567,13.0,0.00018992789710597924,0.09998100721028941,0.1,2.698707722237348e-05,0.9999730129227776,1.0,2.093357174270949e-06,4.000008373428697,4.0
