width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
15.0,64.0,0.1,22.0,0.1290443390607834,0.15828478336334229,0.15836547315120697,0.38491663336753845,0.20975881814956665,0.3364150822162628,0.15360182523727417,0.4192682206630707,1,6,2,1,0.00016371550040475413,28.51767299412642
15.0,32.0,0.1,24.0,0.15301014482975006,0.11044686287641525,0.1540733426809311,0.10567261278629303,0.1537943035364151,0.07264954596757889,0.09657531976699829,0.17339718341827393,1,1,1,1,0.0001421045238327867,24.98130627343646
5.0,32.0,0.1,2.0,0.13314130902290344,0.08415351808071136,0.1695367395877838,0.1620962917804718,,,0.4064175486564636,0.6538455486297607,1,1,7,1,0.00015689165637505775,18.706157755599712
25.0,64.0,0.1,14.0,0.17953431606292725,0.4135892987251282,0.1384575068950653,0.26324164867401123,,,0.1529344767332077,0.45809224247932434,4,9,50,1,7.887169829942642e-05,
15.0,64.0,0.1,19.0,0.18715119361877441,0.4968680143356323,0.17550677061080933,0.46108731627464294,0.22523607313632965,0.39001962542533875,0.13466648757457733,0.4255569875240326,17,4,3,1,9.581956350553089e-05,27.584295515548238
15.0,64.0,0.1,18.0,0.19176658987998962,0.47008439898490906,0.1725875735282898,0.3244380056858063,0.22627383470535278,0.4394643008708954,0.13055066764354706,0.395349383354187,6,8,35,1,0.0001312665988566497,27.87734126853252
25.0,32.0,0.1,5.0,0.22884586453437805,0.3004567623138428,0.2665751576423645,0.4005559980869293,0.16723135113716125,0.26771971583366394,0.25696873664855957,0.23146593570709229,2,1,3,1,0.00014357846959694998,19.435940690581937
5.0,32.0,0.1,4.0,0.20515592396259308,0.11018036305904388,0.17089346051216125,0.06700079888105392,0.3678910434246063,0.32794031500816345,0.552390992641449,0.746956467628479,1,1,4,1,7.045544671090143e-05,34.245870371945394
15.0,64.0,0.1,3.0,0.20211082696914673,0.38678452372550964,0.20353172719478607,0.5383186936378479,0.23769636452198029,0.47257089614868164,0.155315563082695,0.4892246723175049,3,8,15,1,0.00011483645677715093,30.12382339161459
25.0,32.0,0.1,27.0,,,0.1199481412768364,0.073177270591259,0.1644161492586136,0.17085938155651093,0.10052671283483505,0.15110968053340912,2,2,6,1,0.00017965417000645467,23.371211816891076
5.0,32.0,0.1,26.0,0.12916405498981476,0.13029515743255615,0.1347106397151947,0.19849932193756104,0.14968186616897583,0.09989725053310394,0.3210429251194,0.29871124029159546,1,1,1,1,0.00014092434212578664,31.345056934601384
15.0,32.0,0.1,1.0,0.20622718334197998,0.33587929606437683,0.27352333068847656,0.38634192943573,0.22275596857070923,0.2783653438091278,0.20332933962345123,0.34572479128837585,1,1,33,1,0.0001262327204287761,39.00586072539401
25.0,32.0,0.1,30.0,0.2177281677722931,0.23794278502464294,0.20390117168426514,0.21934165060520172,0.1787998229265213,0.13977006077766418,0.10578595101833344,0.253782719373703,1,3,1,1,0.00010854266231839771,23.109589972414668
25.0,64.0,0.1,1.0,0.24050569534301758,0.5171070098876953,0.20475493371486664,0.4312286972999573,0.2609851658344269,0.5061255097389221,0.15764138102531433,0.4418288767337799,22,1,15,1,0.00013110058658635793,26.504087455278796
25.0,64.0,0.1,25.0,,,0.17800083756446838,0.43153640627861023,0.17055842280387878,0.2855583727359772,0.1700914204120636,0.41472530364990234,50,18,42,1,8.31727556954015e-05,24.474746370638826
15.0,32.0,0.1,17.0,0.1760684847831726,0.20248237252235413,0.19377785921096802,0.1733047515153885,0.3641609251499176,0.4018974006175995,0.16946786642074585,0.29341405630111694,1,1,1,1,0.00011041956727217417,32.621297945383894
15.0,64.0,0.1,1.0,0.21718363463878632,0.5030251741409302,0.19519315659999847,0.48439040780067444,0.20988553762435913,0.462282657623291,0.2067992091178894,0.4002833664417267,3,12,1,1,8.354830182299988e-05,30.43067216569892
15.0,64.0,0.1,20.0,0.13617052137851715,0.3655516505241394,0.1665046215057373,0.44085994362831116,0.18756595253944397,0.39827045798301697,0.14525596797466278,0.4424426257610321,24,4,2,1,0.00017754098011217578,27.25084002772728
25.0,64.0,0.1,23.0,0.1933227926492691,0.46367108821868896,,,0.23025226593017578,0.4858700633049011,0.12946651875972748,0.40056106448173523,30,50,4,1,,20.113019352405434
5.0,32.0,0.1,25.0,0.14105190336704254,0.11964225769042969,0.12925492227077484,0.08600012958049774,0.24549797177314758,0.08826860040426254,0.16769076883792877,0.30574461817741394,1,1,1,1,0.0001629906686255178,25.515689772433397
