SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
4.50052070617676,0.172071754932404,58.3281719684601,142,6.58273350310512,1,(28),5000,50,16,256
8.9275426864624,0.24235063791275,58.7517743110657,152,6.92887612716411,1,(30),5000,50,16,256
624.175476074219,2.0264298915863,34.4897572994232,12,6.79513981315773,1,(2),5000,50,16,256
503.546783447266,1.82011198997498,34.9463133811951,12,6.89715757825863,1,(2),5000,50,16,256
520.816223144531,1.85105991363525,34.9306783676147,12,6.88814932899084,1,(2),5000,50,16,256
510.994171142578,1.83352220058441,35.645852804184,12,6.7040399635816,1,(2),5000,50,16,256
509.347595214844,1.83056581020355,34.9155492782593,12,6.93439057396725,1,(2),5000,50,16,256
538.295715332031,1.88186585903168,34.5501897335052,12,5.92623455265886,1,(2),5000,50,16,256
517.473388671875,1.84510982036591,34.6043057441711,12,6.80139643861447,1,(2),5000,50,16,256
512.586364746094,1.83637654781342,35.3232398033142,12,6.61291658187518,1,(2),5000,50,16,256
6.92187786102295,0.213397920131683,36.2252764701843,22,8.54524820849998,1,(4),5000,50,16,256
9.03677558898926,0.243828773498535,35.8890326023102,22,9.20324502038537,1,(4),5000,50,16,256
8.52634239196777,0.236842483282089,36.298223733902,22,8.27238422720693,1,(4),5000,50,16,256
44.9323120117188,0.543697834014893,35.6606221199036,22,9.60834697721817,1,(4),5000,50,16,256
12.2457990646362,0.28383880853653,35.8173110485077,22,8.93583674106129,1,(4),5000,50,16,256
18.3482799530029,0.347436845302582,35.8509585857391,22,9.08205816944479,1,(4),5000,50,16,256
6.3736424446106,0.20477269589901,36.1312794685364,22,8.80096570461057,1,(4),5000,50,16,256
9.72685432434082,0.252967327833176,36.8288841247559,22,8.47821271137102,1,(4),5000,50,16,256
12.0056285858154,0.281041651964188,37.3769505023956,32,8.82253007315099,1,(6),5000,50,16,256
4.79051494598389,0.177528992295265,36.7208967208862,32,9.62333104455844,1,(6),5000,50,16,256
7.95399475097656,0.22875514626503,36.5725736618042,32,8.55960195713677,1,(6),5000,50,16,256
3.13165044784546,0.143537327647209,36.9053914546967,32,8.22270392919891,1,(6),5000,50,16,256
7.61101198196411,0.22376874089241,37.4675009250641,32,8.94645322133787,1,(6),5000,50,16,256
27.1190929412842,0.422392100095749,36.9304854869843,32,9.30981728621759,1,(6),5000,50,16,256
10.719030380249,0.265555918216705,37.3411619663239,32,8.69219372157939,1,(6),5000,50,16,256
15.4395036697388,0.318709403276443,37.0758094787598,32,7.29824642874766,1,(6),5000,50,16,256
4.94208335876465,0.180315583944321,37.4829363822937,42,8.48729620900937,1,(8),5000,50,16,256
8.3328742980957,0.234139993786812,37.3228669166565,42,9.17002748860978,1,(8),5000,50,16,256
18.3274955749512,0.347240030765533,38.2452478408813,42,8.95524025229271,1,(8),5000,50,16,256
8.16531848907471,0.231774032115936,37.4867944717407,42,8.18871986097191,1,(8),5000,50,16,256
9.40134811401367,0.248698562383652,37.5822279453278,42,8.14372890878469,1,(8),5000,50,16,256
29.9407005310059,0.443822354078293,37.4296491146088,42,7.35923129639123,1,(8),5000,50,16,256
1.56296491622925,0.101403467357159,37.8527550697327,42,7.96317758777179,1,(8),5000,50,16,256
3.92723226547241,0.160739094018936,37.8494403362274,42,8.9264000774594,1,(8),5000,50,16,256
4.34432172775269,0.169059351086617,51.7355239391327,52,9.05746759600937,1,(10),5000,50,16,256
3.9626932144165,0.161463156342506,52.0304613113403,52,8.45969932863489,1,(10),5000,50,16,256
9.39694499969482,0.248640313744545,51.5125951766968,52,8.14460250065662,1,(10),5000,50,16,256
10.3077259063721,0.26041117310524,52.3491084575653,52,8.00930491661886,1,(10),5000,50,16,256
7.52906894683838,0.222560882568359,52.0182182788849,52,9.02491932379547,1,(10),5000,50,16,256
4.34305953979492,0.169034793972969,52.3323676586151,52,8.52366791951004,1,(10),5000,50,16,256
3.09500765800476,0.142695099115372,51.6147699356079,52,8.26506428049877,1,(10),5000,50,16,256
5.68102836608887,0.193326622247696,52.5431907176971,52,9.22815287724603,1,(10),5000,50,16,256
8.38738250732422,0.234904542565346,52.1131951808929,62,8.22991746474989,1,(12),5000,50,16,256
7.88745307922363,0.227796256542206,51.6042528152466,62,7.38532027316745,1,(12),5000,50,16,256
6.81610155105591,0.211761116981506,51.6756508350372,62,7.9797535899654,1,(12),5000,50,16,256
4.95880937576294,0.180620446801186,51.8955709934235,62,7.46760812078603,1,(12),5000,50,16,256
7.54518270492554,0.22279891371727,52.1226441860199,62,8.01346819531173,1,(12),5000,50,16,256
6.41018486022949,0.205358877778053,52.3131372928619,62,7.92146270611323,1,(12),5000,50,16,256
5.68815851211548,0.193447917699814,51.997784614563,62,7.87549826206174,1,(12),5000,50,16,256
11.5777111053467,0.275987595319748,51.8113629817963,62,7.88006897413172,1,(12),5000,50,16,256
