Replicate,SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
1,13.742405891418457,0.30068349838256836,90.80145192146301,104,4.630410459500272,1,(20),5000,50,16,256
2,8.674320220947266,0.23888887465000153,90.23814487457275,104,4.953050867835991,1,(20),5000,50,16,256
3,13.262641906738281,0.29538825154304504,90.07709312438965,104,4.557811173594091,1,(20),5000,50,16,256
4,13.864983558654785,0.30202150344848633,90.8978066444397,104,4.806697285999544,1,(20),5000,50,16,256
5,19.54587745666504,0.3585962951183319,90.67426323890686,104,4.742494048628323,1,(20),5000,50,16,256
6,8.801776885986328,0.24063754081726074,90.12021064758301,104,4.829880199898034,1,(20),5000,50,16,256
7,19.891462326049805,0.3617525100708008,90.43448734283447,104,4.942860148483887,1,(20),5000,50,16,256
0,7.8997297286987305,0.22797347605228424,90.95512628555298,114,4.7838570797070865,1,(22),5000,50,16,256
1,11.353949546813965,0.27330759167671204,91.01743912696838,114,4.3476577899616675,1,(22),5000,50,16,256
2,9.10446834564209,0.2447403073310852,91.47122406959534,114,5.156031675436534,1,(22),5000,50,16,256
3,18.133655548095703,0.34539884328842163,90.5476553440094,114,4.716271062612068,1,(22),5000,50,16,256
4,22.720081329345703,0.386618971824646,91.04230785369873,114,4.552161162819248,1,(22),5000,50,16,256
5,12.066389083862305,0.2817519009113312,91.120192527771,114,4.933880757959559,1,(22),5000,50,16,256
6,11.785333633422852,0.27845123410224915,90.73331475257874,114,4.845650029990356,1,(22),5000,50,16,256
7,12.07267951965332,0.28182533383369446,91.45200181007385,114,4.938259718375048,1,(22),5000,50,16,256
0,9.722689628601074,0.25291314721107483,91.1535234451294,124,4.891863095774315,1,(24),5000,50,16,256
1,10.699560165405273,0.26531460881233215,91.31037831306458,124,4.725762933953665,1,(24),5000,50,16,256
2,13.598669052124023,0.2991068661212921,91.47988486289978,124,4.905138950419496,1,(24),5000,50,16,256
3,8.52728271484375,0.23685553669929504,90.75161790847778,124,5.175121070612222,1,(24),5000,50,16,256
4,10.68227767944336,0.26510024070739746,90.89109587669373,124,4.773448208218906,1,(24),5000,50,16,256
5,11.956232070922852,0.2804628610610962,90.90040922164917,124,4.755996522818895,1,(24),5000,50,16,256
6,13.357467651367188,0.2964423596858978,91.43063759803772,124,4.64740127068304,1,(24),5000,50,16,256
7,6.174824237823486,0.2015535682439804,91.28553175926208,124,5.226560324402526,1,(24),5000,50,16,256
0,8.338495254516602,0.23421895503997803,91.39067482948303,134,4.536926691657864,1,(26),5000,50,16,256
1,10.266389846801758,0.25988849997520447,92.27523350715637,134,4.572075097705238,1,(26),5000,50,16,256
2,10.084433555603027,0.2575751543045044,91.46584725379944,134,4.8372559360601,1,(26),5000,50,16,256
3,10.526409149169922,0.2631590664386749,92.00596213340759,134,4.636282574327197,1,(26),5000,50,16,256
4,10.732193946838379,0.26571890711784363,91.97182178497314,134,4.663303202852258,1,(26),5000,50,16,256
5,10.514726638793945,0.26301297545433044,94.26227116584778,134,4.576923215724528,1,(26),5000,50,16,256
6,7.1616668701171875,0.21706274151802063,92.28772449493408,134,4.614463410996832,1,(26),5000,50,16,256
7,15.164800643920898,0.31586140394210815,92.92267417907715,134,4.522718731877976,1,(26),5000,50,16,256
0,10.427196502685547,0.26191598176956177,92.2967619895935,144,4.6398711449676195,1,(28),5000,50,16,256
1,10.120674133300781,0.2580375671386719,92.57484126091003,144,4.56937813422177,1,(28),5000,50,16,256
2,12.814532279968262,0.2903551757335663,92.45658922195435,144,4.762230840669945,1,(28),5000,50,16,256
3,12.876813888549805,0.2910599112510681,92.7435290813446,144,4.973595585529693,1,(28),5000,50,16,256
4,11.773451805114746,0.2783108353614807,92.4882116317749,144,4.774203609637916,1,(28),5000,50,16,256
5,5.59832763671875,0.19191430509090424,92.33713293075562,144,4.449657261518296,1,(28),5000,50,16,256
6,8.69404411315918,0.23916032910346985,92.6532051563263,144,4.776668441619258,1,(28),5000,50,16,256
7,6.025650978088379,0.19910410046577454,92.42751908302307,144,4.553320249971002,1,(28),5000,50,16,256
0,7.990190029144287,0.22927503287792206,92.60120558738708,154,4.576941949906759,1,(30),5000,50,16,256
1,7.680412292480469,0.22478662431240082,92.68095135688782,154,4.732157723377458,1,(30),5000,50,16,256
2,9.178768157958984,0.24573691189289093,93.14782238006592,154,4.814113511664328,1,(30),5000,50,16,256
3,9.909165382385254,0.2553270161151886,93.18206572532654,154,4.427984553822316,1,(30),5000,50,16,256
4,13.416956901550293,0.2971017360687256,93.44566369056702,154,4.806346577409713,1,(30),5000,50,16,256
5,9.471248626708984,0.2496214061975479,93.35392451286316,154,5.038895882940851,1,(30),5000,50,16,256
6,9.467269897460938,0.24956896901130676,93.36388230323792,154,4.5360601863800545,1,(30),5000,50,16,256
7,10.604522705078125,0.26413366198539734,93.13522005081177,154,4.819896171820583,1,(30),5000,50,16,256
