SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
18.3075122833252,0.347050666809082,95.5532615184784,64,4.77578268044628,1,(12),5000,50,16,256
21.4606075286865,0.375750184059143,96.25443983078,64,4.86261067816478,1,(12),5000,50,16,256
20.1706981658936,0.364282816648483,96.3972194194794,74,4.65518899602816,1,(14),5000,50,16,256
13.9816398620605,0.303289413452148,96.5486516952515,74,4.74856298472267,1,(14),5000,50,16,256
16.4332275390625,0.328805923461914,96.5404822826386,74,4.77341674495023,1,(14),5000,50,16,256
7.39714479446411,0.220602422952652,96.3735558986664,74,5.27179651395418,1,(14),5000,50,16,256
9.91737174987793,0.255432695150375,95.4853582382202,84,4.67070571835386,1,(16),5000,50,16,256
22.269567489624,0.382766664028168,95.6622910499573,84,5.03640270690725,1,(16),5000,50,16,256
16.9446105957031,0.33388277888298,95.7168984413147,84,4.72466266407573,1,(16),5000,50,16,256
9.38444137573242,0.248474836349487,96.2366855144501,84,4.9406978891464,1,(16),5000,50,16,256
6.35511684417725,0.204474881291389,98.6538505554199,94,4.82982231552247,1,(18),5000,50,16,256
11.4992752075195,0.275051146745682,98.0746078491211,94,4.95389566229424,1,(18),5000,50,16,256
15.4117698669434,0.31842303276062,98.5038638114929,94,4.50339396667958,1,(18),5000,50,16,256
14.8503494262695,0.312569469213486,98.3610303401947,94,4.65695904084016,1,(18),5000,50,16,256
12.5096263885498,0.286880075931549,98.6965539455414,104,4.77141017979127,1,(20),5000,50,16,256
12.8843307495117,0.291144877672195,99.2862191200256,104,4.46722396978003,1,(20),5000,50,16,256
15.0888013839722,0.315068930387497,99.6852838993073,104,4.40867197884072,1,(20),5000,50,16,256
10.1847124099731,0.258852630853653,99.752161026001,104,4.8939405544987,1,(20),5000,50,16,256
13.6051683425903,0.2991783618927,99.5083546638489,114,4.45715649016929,1,(22),5000,50,16,256
8.13992404937744,0.231413334608078,99.702609539032,114,4.58191590984352,1,(22),5000,50,16,256
13.8154010772705,0.301481008529663,99.6901512145996,114,4.34824054086697,1,(22),5000,50,16,256
11.785831451416,0.27845710515976,99.8655321598053,114,4.62547517295927,1,(22),5000,50,16,256
11.3380794525146,0.273116499185562,99.3308553695679,124,4.51928813120001,1,(24),5000,50,16,256
12.4231472015381,0.285886734724045,99.3685808181763,124,4.80040609109565,1,(24),5000,50,16,256
6.88984680175781,0.212903589010239,99.3101918697357,124,4.75878865726758,1,(24),5000,50,16,256
10.1209125518799,0.258040606975555,99.6221506595612,124,4.5589399350062,1,(24),5000,50,16,256
17.5984401702881,0.340263456106186,100.896711111069,134,4.2378365844721,1,(26),5000,50,16,256
14.7356290817261,0.311359792947769,101.249295473099,134,4.4011472664238,1,(26),5000,50,16,256
11.3383827209473,0.273120164871216,102.172084569931,134,4.49617772740661,1,(26),5000,50,16,256
15.7421092987061,0.321817517280579,101.226059675217,134,4.23988414825013,1,(26),5000,50,16,256
10.2554540634155,0.259750068187714,101.373143196106,144,4.43185750576784,1,(28),5000,50,16,256
8.41627216339111,0.23530875146389,101.480802059174,144,4.5989113676548,1,(28),5000,50,16,256
18.4822807312012,0.348703235387802,101.483131408691,144,4.69565431203577,1,(28),5000,50,16,256
7.43664789199829,0.221190676093101,101.597769260407,144,4.42587829069467,1,(28),5000,50,16,256
8.48645782470703,0.236287876963615,101.786909580231,154,4.3825410259064,1,(30),5000,50,16,256
13.5950059890747,0.299066603183746,101.851962566376,154,4.38134475883606,1,(30),5000,50,16,256
9.46314430236816,0.249514579772949,101.794978141785,154,4.49365284227533,1,(30),5000,50,16,256
10.6860408782959,0.265146940946579,102.053704738617,154,4.57309110790957,1,(30),5000,50,16,256
254.741821289062,1.29457831382751,49.2991132736206,14,3.85714654303243,1,(2),5000,50,16,256
78.6475830078125,0.719317972660065,62.4674808979034,24,5.04259857576311,1,(4),5000,50,16,256
56.1781005859375,0.607941389083862,64.5134060382843,34,5.03389622118528,1,(6),5000,50,16,256
29.4904270172119,0.440472424030304,64.893901348114,44,4.37004900746048,1,(8),5000,50,16,256
22.9989795684814,0.388984680175781,92.4898121356964,54,4.85388106337516,1,(10),5000,50,16,256
19.1442756652832,0.354893207550049,93.1420576572418,64,4.58162765857065,1,(12),5000,50,16,256
13.962233543396,0.303078860044479,92.9360761642456,74,4.2709526229417,1,(14),5000,50,16,256
12.5442180633545,0.287276446819305,92.873340845108,84,4.45044697077479,1,(16),5000,50,16,256
11.5538082122803,0.27570253610611,94.5389678478241,94,4.8096118672844,1,(18),5000,50,16,256
13.8781719207764,0.302165120840073,95.2915890216827,104,4.61148502077442,1,(20),5000,50,16,256
10.7034378051758,0.265362679958343,96.0402684211731,114,4.42167899080436,1,(22),5000,50,16,256
10.1795740127563,0.258787333965302,95.896243095398,124,4.1849671772006,1,(24),5000,50,16,256
3.25570225715637,0.146352633833885,97.5838205814362,134,4.88034094736911,1,(26),5000,50,16,256
6.09931945800781,0.20031750202179,98.6977038383484,144,4.40424098398071,1,(28),5000,50,16,256
12.3465948104858,0.285004556179047,98.7653579711914,154,4.55121641745092,1,(30),5000,50,16,256
345.227325439453,1.50706088542938,46.0018153190613,14,4.60607011688408,1,(2),5000,50,16,256
506.509460449219,1.82545852661133,56.9013097286224,14,5.5924644925585,1,(2),5000,50,16,256
242.890228271484,1.26410520076752,57.9352760314941,14,4.36980286873018,1,(2),5000,50,16,256
444.992309570312,1.71101760864258,57.1580667495728,14,4.4113820285094,1,(2),5000,50,16,256
323.995208740234,1.45998203754425,57.6707100868225,14,4.64192144011438,1,(2),5000,50,16,256
474.138519287109,1.76616311073303,59.3360521793366,14,4.09644716641866,1,(2),5000,50,16,256
362.821990966797,1.54498755931854,59.7569622993469,14,4.32184221076313,1,(2),5000,50,16,256
261.105804443359,1.31064915657043,59.3557119369507,14,4.39262617092114,1,(2),5000,50,16,256
156.224136352539,1.01380002498627,60.1107115745544,24,4.43304056611465,1,(4),5000,50,16,256
74.6258697509766,0.700685143470764,60.5127415657043,24,5.15825967038836,1,(4),5000,50,16,256
92.684700012207,0.780876278877258,59.8657655715942,24,5.14400715120101,1,(4),5000,50,16,256
48.2919502258301,0.563657879829407,60.7337403297424,24,5.66816600622915,1,(4),5000,50,16,256
