width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
5.0,32.0,0.1,1.0,3.0,3.0,3.0,0.1500072032213211,0.1265275925397873,1,51.8473421524067,0.3024971682594879,1.7437570793512802,2.5,0.04325639010139012,5.740461659391659,6.0,0.493477288568657,8.104363382901488,16.0,0.32555371251642456,67.44462874835754,100,0.06423080476840783,1.197784569896438,1.28,0.31011948709035303,8.278566154915763,12.0,2.939429397998244,7.090972916396839,1.8,0.008908413511929024,12.884190624344923,13.0,1.7825116259415992,0.27825116259415994,0.1,0.22819140110453084,0.7718085988954692,1.0,0.19091972286757009,4.76367889147028,4.0
5.0,32.0,0.1,10.0,6.0,16.0,2.0,0.2761620879173279,0.2315552979707718,1,36.33518362462899,0.7329923271589878,0.6675191821025306,2.5,0.06383732962997064,5.616976022220176,6.0,0.4644655906378674,8.568550549794121,16.0,0.13498505031573402,86.5014949684266,100,0.009301380506081085,1.2919057670477838,1.28,0.522111991772499,5.734656098730012,12.0,0.4826977604563544,2.668855968821438,1.8,0.42154990637674633,7.519851217102298,13.0,0.4510324496975829,0.1451032449697583,0.1,0.2946240589082987,0.7053759410917013,1.0,0.05593565581436111,4.223742623257444,4.0
5.0,32.0,0.1,0.0,7.0,1.0,1.0,0.14485566318035126,0.17862072587013245,11,21.648812823884434,0.35953442812359204,1.6011639296910198,2.5,0.10986814220634204,5.340791146761948,6.0,0.13120879035997124,18.09934064575954,16.0,0.06570157426666867,93.42984257333313,100,0.0076135554304229,1.2897453509509413,1.28,0.07652490444598377,11.081701146648195,12.0,2.6460924094876552,6.562966337077779,1.8,0.40253043200292926,7.76710438396192,13.0,0.5799859576915112,0.15799859576915112,0.1,0.15411330791867794,0.8458866920813221,1.0,0.07131294170113911,3.7147482331954436,4.0
5.0,32.0,0.1,0.1,1.0,16.0,1.0,0.278149276971817,0.32228779792785645,1,27.798024342463105,0.5692610964751788,1.0768472588120532,2.5,0.48269776045635443,8.896186562738126,6.0,0.4557374990183223,8.708200015706844,16.0,0.02541112804320008,97.45888719567999,100,0.07262732985840094,1.3729629822187532,1.28,0.30280633719066197,8.366323953712056,12.0,3.175270453495955,7.515486816292719,1.8,0.23378869073313935,9.960747020469189,13.0,2.6349732938745274,0.36349732938745277,0.1,0.39644602922358285,0.6035539707764171,1.0,0.12611251674565271,4.504450066982611,4.0
5.0,32.0,0.1,1.0,1.0,18.0,3.0,0.2761338949203491,0.19155830144882202,1,32.269122955162224,0.49785766360654093,1.2553558409836476,2.5,0.673725413919161,10.042352483514966,6.0,0.49801555862607794,8.031751061982753,16.0,0.04667126477466681,95.33287352253332,100,0.1597002823806072,1.4844163614471773,1.28,0.4456277599028147,6.652466881166223,12.0,2.487624085105326,6.277723353189587,1.8,0.2195830299064913,10.145420611215613,13.0,1.0291550325348542,0.20291550325348542,0.1,0.477990692713923,0.522009307286077,1.0,0.22039811973116197,4.881592478924648,4.0
5.0,32.0,0.1,10.0,7.0,4.0,1.0,0.43197014927864075,0.42744484543800354,1,41.616983411279975,0.7719606059619126,0.5700984850952185,2.5,0.17491157354799944,7.049469441287997,6.0,0.5094532143768229,7.848748569970833,16.0,0.14321418524105625,85.67858147589438,100,0.06474207532636884,1.197130143582248,1.28,0.49210786652961186,6.094705601644658,12.0,2.9958481660039933,7.192526698807188,1.8,0.2834225158827867,9.315507293523773,13.0,1.2147874099542126,0.22147874099542128,0.1,0.36696987026187233,0.6330301297381277,1.0,0.1528275574096507,4.611310229638603,4.0
5.0,32.0,0.1,10.0,3.0,5.0,1.0,0.2060738354921341,0.1328336000442505,1,50.027244836434065,0.4336863206377294,1.4157841984056765,2.5,0.11536122700567548,6.692167362034053,6.0,0.5752375596002867,6.796199046395413,16.0,0.23865947478247507,76.1340525217525,100,0.03033926537106893,1.2411657403250318,1.28,0.48358024809490946,6.197037022861086,12.0,2.725602269386047,6.706084084894885,1.8,0.24747483494189654,9.782827145755345,13.0,1.8028816274643369,0.2802881627464337,0.1,0.4038394006449646,0.5961605993550354,1.0,0.1579828754021917,4.631931501608767,4.0
5.0,32.0,0.1,1.0,2.0,9.0,3.0,0.3786519169807434,0.30765998363494873,1,20.43353380444341,0.8499946616056683,0.3750133459858294,2.5,0.18827687592626421,4.870338744442415,6.0,0.02984281311322179,15.522514990188451,16.0,0.05442889465315346,94.55711053468465,100,0.1409599513642801,1.0995712622537215,1.28,0.5003783244186583,5.995460106976101,12.0,2.2124601135039055,5.782428204307029,1.8,0.06077973207623362,12.209863483008963,13.0,1.3951036198072493,0.23951036198072495,0.1,0.12386547111675095,0.876134528883249,1.0,0.009400558644759416,4.037602234579038,4.0
5.0,32.0,0.1,1.0,1.0,6.0,1.0,0.18395519256591797,0.10050814598798752,1,34.82016884446641,0.3194028092079271,1.7014929769801823,2.5,0.19110018360040604,4.853398898397564,6.0,0.49040534224084686,8.15351452414645,16.0,0.10145288246364345,89.85471175363566,100,0.0886083097106775,1.1665813635703328,1.28,0.48160352417440017,6.220757709907198,12.0,2.885710247830801,6.994278446095442,1.8,0.23598897813364977,9.932143284262553,13.0,1.3554312978445722,0.23554312978445724,0.1,0.10646228260645207,0.8935377173935479,1.0,0.12162137421999875,4.486485496879995,4.0
5.0,32.0,0.1,0.1,4.0,0.0,1.0,0.3499404489994049,0.3999280035495758,1,33.828103867536,0.7918463085051359,0.5203842287371602,2.5,0.027928803451774325,5.832427179289354,6.0,0.5187251721278625,7.7003972459542,16.0,0.07486585559250386,92.51341444074961,100,0.4376586748096509,0.7197968962436468,1.28,0.5082608128357605,5.900870245970873,12.0,2.7933021450502062,6.827943861090371,1.8,0.25889081934085934,9.634419348568828,13.0,1.3350304063578449,0.2335030406357845,0.1,0.2660513516200248,0.7339486483799752,1.0,0.11057879992587205,4.442315199703488,4.0
5.0,32.0,0.1,1.0,4.0,10.0,2.0,0.3379928469657898,0.2243572622537613,1,37.145637106373194,0.8835321447209393,0.29116963819765157,2.5,0.27925883287083614,4.324447002774983,6.0,0.5368772506365007,7.409963989815989,16.0,0.09166709176118432,90.83329082388157,100,0.030760801977859978,1.3193738265316608,1.28,0.5894996786711008,4.9260038559467905,12.0,1.7896095371276526,5.021297166829775,1.8,0.3233944460253444,8.795872201670523,13.0,0.6521990939679595,0.16521990939679596,0.1,0.1471111479700109,0.8528888520299891,1.0,0.18834564198311488,4.7533825679324595,4.0
5.0,32.0,0.1,0.0,0.0,10.0,3.0,,,50,,0.03076080197786002,2.57690200494465,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
5.0,32.0,0.1,0.0,0.0,14.0,3.0,,,50,,0.31347270620368806,3.28368176550922,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
5.0,32.0,0.1,1.0,4.0,2.0,1.0,0.2006589025259018,0.13991831243038177,1,33.886613877947916,0.5249777929159996,1.187555517710001,2.5,0.21785575029751847,4.692865498214889,6.0,0.49010595973671367,8.158304644212581,16.0,0.05454675836870223,94.54532416312978,100,0.36520780406495224,0.8125340107968612,1.28,0.5382253890356984,5.54129533157162,12.0,2.520800469866161,6.337440845759089,1.8,0.44395007416579624,7.228649035844649,13.0,1.984333288978012,0.2984333288978012,0.1,0.10994645692240912,0.8900535430775909,1.0,0.10683036196224882,4.427321447848995,4.0
