width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
5.0,64.0,0.1,1.0,2.0,6.0,8.0,2.165136467458652,-1.7477047011879785,1.5,0.25130013285806935,2.246099601425792,3.0,0.9952623149688788,1.9952623149688788,1.0
5.0,64.0,0.1,1.0,1.0,3.0,18.0,1.4986952702416694,-0.748042905362504,1.5,0.7488113568490421,0.7535659294528738,3.0,0.11448525475967031,0.8855147452403297,1.0
5.0,64.0,0.1,0.0,1.0,2.0,19.0,1.8546633906349845,-1.281995085952477,1.5,0.8741074588205833,0.3776776235382501,3.0,0.08742110732712383,0.9125788926728762,1.0
5.0,64.0,0.1,0.0,0.0,8.0,2.0,6.943282347242815,11.914923520864223,1.5,0.0867542866900372,2.7397371399298884,3.0,0.08031210067252248,1.0803121006725225,1.0
5.0,64.0,0.1,0.0,0.0,7.0,5.0,2.9810717055349745,5.971607558302462,1.5,0.17072236791536546,2.4878328962539036,3.0,0.07160336485745633,1.0716033648574563,1.0
5.0,64.0,0.1,1.0,2.0,7.0,14.0,1.9682540459125875,-1.4523810688688814,1.5,1.2504872218712826,6.7514616656138475,3.0,2.981071705534973,3.981071705534973,1.0
5.0,64.0,0.1,1.0,1.0,9.0,9.0,,,1.5,14.848931924611122,47.54679577383337,3.0,,,1.0
5.0,64.0,0.1,0.0,2.0,5.0,18.0,0.05797641182191068,1.586964617732866,1.5,0.1445086573165558,2.5664740280503326,3.0,0.0,1.0,1.0
5.0,64.0,0.1,0.0,1.0,7.0,2.0,1.3549057278099468,-0.5323585917149201,1.5,2.9810717055349727,11.943215116604918,3.0,2.809280647147787,3.809280647147787,1.0
5.0,64.0,0.1,0.0,0.0,6.0,16.0,0.9952623149688792,2.9928934724533187,1.5,0.25273429751047605,2.241797107468572,3.0,0.000677066791355152,1.0006770667913552,1.0
5.0,64.0,0.1,1.0,1.0,3.0,6.0,1.7028347378536102,-1.0542521067804151,1.5,0.7488113568490421,0.7535659294528738,3.0,1.8198470857708502,2.81984708577085,1.0
5.0,64.0,0.1,0.0,1.0,9.0,15.0,,,1.5,14.848931924611122,47.54679577383337,3.0,,,1.0
5.0,64.0,0.1,0.0,0.0,6.0,3.0,0.9952623149688792,2.9928934724533187,1.5,0.13255316150573648,2.6023405154827906,3.0,0.02645976796079519,1.0264597679607952,1.0
5.0,64.0,0.1,0.0,0.0,8.0,5.0,6.943282347242815,11.914923520864223,1.5,0.09702342498983392,2.7089297250304982,3.0,0.04721669986587851,1.0472166998658785,1.0
