width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err
5.0,32.0,0.1,10.0,4.0,17.0,3.0,0.3118991553783417,0.3890410363674164,1,31.986085661269144
5.0,32.0,0.1,10.0,5.0,11.0,1.0,0.14190955460071564,0.12022997438907623,1,31.062914590338497
5.0,32.0,0.1,1.0,3.0,6.0,3.0,0.20991230010986328,0.14107646048069,1,43.139888776258694
5.0,32.0,0.1,0.0,9.0,12.0,3.0,0.3595028221607208,0.295011967420578,1,37.0498790865465
5.0,32.0,0.1,1.0,8.0,16.0,1.0,0.2791871130466461,0.25396373867988586,1,25.82556812901476
5.0,32.0,0.1,0.1,0.0,17.0,3.0,0.24340958893299103,0.238518625497818,1,32.664696092544176
5.0,32.0,0.1,1.0,6.0,18.0,2.0,0.3932740390300751,0.3678969442844391,1,25.652351693485933
5.0,32.0,0.1,0.0,9.0,7.0,3.0,0.2909466624259949,0.2825736701488495,1,32.22693133802291
5.0,32.0,0.1,1.0,5.0,0.0,1.0,0.2745113670825958,0.17280691862106323,1,27.692258501330688
5.0,32.0,0.1,0.1,4.0,11.0,2.0,0.19342274963855743,0.242331400513649,1,31.34858059119371
5.0,32.0,0.1,10.0,6.0,19.0,1.0,0.2907278835773468,0.26324939727783203,1,31.565255645468426
5.0,32.0,0.1,0.1,2.0,4.0,3.0,0.18686597049236298,0.25418621301651,1,24.17025293531207
5.0,32.0,0.1,1.0,4.0,12.0,1.0,0.1766453981399536,0.12463115900754929,1,23.923213059832463
5.0,32.0,0.1,1.0,0.0,14.0,1.0,0.3131987452507019,0.2795298993587494,1,32.07151242547237
5.0,32.0,0.1,10.0,9.0,16.0,1.0,0.08765233308076859,0.0837855264544487,2,26.931161953974634
5.0,32.0,0.1,0.0,2.0,1.0,2.0,0.28793248534202576,0.213390052318573,1,30.239235930331965
5.0,32.0,0.1,1.0,6.0,7.0,3.0,0.2935102880001068,0.29325324296951294,1,23.268187864546306
5.0,32.0,0.1,10.0,10.0,8.0,1.0,0.17312964797019958,0.09842423349618912,1,27.622673365512977
5.0,32.0,0.1,0.1,8.0,16.0,2.0,0.2048320472240448,0.14649076759815216,1,33.279908486186486
5.0,32.0,0.1,0.0,7.0,12.0,3.0,0.08730703592300415,0.07493627816438675,1,27.097766211088942
5.0,32.0,0.1,0.1,7.0,2.0,1.0,0.17503581941127777,0.12825098633766174,1,35.01468092930626
5.0,32.0,0.1,1.0,6.0,15.0,1.0,0.1297435760498047,0.17215463519096375,1,29.36526010568543
5.0,32.0,0.1,0.0,0.0,12.0,3.0,0.19735170900821686,0.2164243459701538,29,26.792240709392306
5.0,32.0,0.1,10.0,2.0,4.0,2.0,0.11941298097372055,0.07358409464359283,1,24.65518400292971
