width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
5.0,64.0,0.1,0.1,1.0,5.0,2.0,0.212052121758461,0.3679981827735901,0,1.6031769479234927,0.8303404146953465,2.7455106220430197,1.5,0.06605049898479247,3.1981514969543774,3.0,0.1595148289260957,1.1595148289260957,1.0
5.0,64.0,0.1,0.0,1.0,4.0,2.0,4.6356282234191895,9.783780097961426,0,2.4081915690672817,0.3337076018656749,0.9994385972014876,1.5,0.06195813336018574,2.8141255999194428,3.0,1.7217557661882124,2.7217557661882124,1.0
5.0,64.0,0.1,1.0,2.0,3.0,1.0,0.1943509429693222,0.41595736145973206,0,2.6387090553675487,0.6324947706940173,0.551257843958974,1.5,0.5051236948648471,1.4846289154054588,3.0,0.1745958147319816,0.8254041852680184,1.0
5.0,64.0,0.1,0.1,1.0,9.0,3.0,0.28820329904556274,0.3312799036502838,0,4.108890358915435,1.0593739007749388,3.089060851162408,1.5,0.7782794100389226,5.334838230116768,3.0,0.18499127763625922,1.1849912776362592,1.0
5.0,64.0,0.1,0.1,1.0,2.0,1.0,0.12060768902301788,0.0973743125796318,0,10.923053044024982,6.673878192057642,11.510817288086463,1.5,0.27370824982637876,2.1788752505208637,3.0,0.09111100645938408,0.9088889935406159,1.0
5.0,64.0,0.1,0.0,2.0,3.0,2.0,0.16956639289855957,0.30294838547706604,0,2.9902444451372645,0.8535446683987402,0.2196829974018898,1.5,0.5117772092690577,1.464668372192827,3.0,0.1745958147319816,0.8254041852680184,1.0
5.0,64.0,0.1,10.0,2.0,2.0,2.0,0.262187659740448,0.6134651899337769,0,3.1978243454009747,0.7945864374553437,0.30812034381698433,1.5,0.5774121464638601,1.2677635606084199,3.0,0.27370824982637876,0.7262917501736212,1.0
5.0,64.0,0.1,10.0,0.0,0.0,2.0,0.37043166160583496,0.4149923324584961,0,2.0838696754080557,0.4376586748096509,0.8435119877855236,1.5,0.4340377051746496,4.302113115523949,3.0,0.12526854766963003,1.12526854766963,1.0
5.0,64.0,0.1,1.0,0.0,2.0,2.0,0.15299378335475922,0.190310999751091,0,0.8732335507479756,0.27370824982637876,1.0894376252604319,1.5,0.10023529463600278,2.6992941160919917,3.0,0.16196529210039912,1.1619652921003991,1.0
5.0,64.0,0.1,1.0,2.0,7.0,1.0,0.16744723916053772,0.5309094786643982,0,1.0771637253609634,0.3964460638347866,0.9053309042478201,1.5,0.03521248825200848,3.1056374647560254,3.0,0.3768571648527581,1.376857164852758,1.0
5.0,64.0,0.1,10.0,2.0,4.0,1.0,0.31173330545425415,0.6932583451271057,0,2.7679975299346595,0.8573272253324885,0.21400916200126724,1.5,0.473349519525247,1.579951441424259,3.0,0.06195813336018574,0.9380418666398143,1.0
5.0,64.0,0.1,10.0,1.0,9.0,2.0,0.38361379504203796,0.3723726272583008,0,4.476884089488038,0.9637411870344194,0.05438821944837099,1.5,0.7782794100389226,5.334838230116768,3.0,0.6964340788196417,1.6964340788196417,1.0
