Train Loss,Test Loss,Replicate,Size,Attempts
19.40671730041504,19.304824829101562,42,25,4
8.628886222839355,8.622403144836426,43,25,16
66.56600952148438,66.45451354980469,44,25,6
31.53441619873047,32.14118576049805,45,25,9
18.48668670654297,18.506181716918945,46,25,20
,2.4571220874786377,47,25,23
0.011644832789897919,0.04066966846585274,48,25,73
4.0091094970703125,4.009461879730225,49,25,42
13.660868644714355,13.166828155517578,0,30,108
15.261442184448242,14.81215763092041,1,30,11
31.380342483520508,31.030786514282227,2,30,262
36.8764533996582,36.481563568115234,3,30,22
56.01326370239258,56.268470764160156,4,30,36
18.277667999267578,18.09622573852539,5,30,124
0.2279147505760193,0.17340676486492157,6,30,36
60.22699737548828,60.027305603027344,7,30,80
74.84725952148438,74.68563842773438,8,30,31
44.67798614501953,44.69474411010742,9,30,72
4.7567901611328125,4.474799633026123,10,30,378
44.160465240478516,43.34288787841797,11,30,63
,,12,30,1
16.082616806030273,15.85024356842041,13,30,177
37.75879669189453,38.53231430053711,14,30,134
56.91267395019531,56.878211975097656,15,30,70
40.008140563964844,40.027740478515625,16,30,5
,,17,30,35
20.238401412963867,19.90291404724121,18,30,39
,,19,30,89
20.044944763183594,19.88372802734375,20,30,150
,,21,30,9
0.04140665754675865,0.04585690423846245,22,30,75
0.011973741464316845,0.024662038311362267,23,30,76
15.154516220092773,15.012142181396484,24,30,6
28.884380340576172,28.223237991333008,25,30,97
17.329153060913086,17.06444549560547,26,30,21
,,27,30,133
15.836036682128906,15.91486644744873,28,30,63
18.6763916015625,18.810497283935547,29,30,272
,,30,30,6
,,31,30,136
59.06718063354492,58.61417007446289,32,30,114
42.03385543823242,41.716339111328125,33,30,23
0.050547949969768524,0.03232350945472717,34,30,117
0.7477898597717285,0.7848908305168152,35,30,78
29.775951385498047,29.286334991455078,36,30,130
,,37,30,23
0.019653359428048134,0.04719408601522446,38,30,32
,,39,30,6
,,40,30,111
34.560787200927734,34.50565719604492,41,30,27
32.414398193359375,32.27037048339844,42,30,130
43.851585388183594,43.64957809448242,43,30,69
43.60024642944336,43.48662185668945,44,30,67
45.61397933959961,46.80134963989258,45,30,40
0.013167951256036758,0.03881532698869705,46,30,22
,,47,30,2
48.44075393676758,47.57801818847656,48,30,78
41.53971862792969,41.42999267578125,49,30,6
