"Train.Loss","Test.Loss","Replicate","Size","Batch.Time","Batch.Size","Learning.Rate","Learning.Rate.Step","Iterations","Wall.Time"
0.0372108370065689,0.0293519776314497,0,5,64,256,0.1,1000,2000,106.970089673996
0.040734589099884,0.0334357358515263,0,5,64,256,0.1,1000,4000,201.174479484558
0.089616984128952,0.0803108885884285,0,5,64,256,0.01,500,500,24.8000547885895
0.218643188476562,0.207129627466202,0,5,64,256,0.01,500,1000,51.4997627735138
0.295193046331406,1.18810224533081,0,5,64,256,0.01,500,2000,101.930858135223
0.202336341142654,0.164338916540146,0,5,64,256,0.01,500,4000,205.005462408066
0.111889943480492,0.0795262679457664,0,5,64,256,0.01,1000,500,24.5513610839844
0.271031379699707,0.273714065551758,0,5,64,256,0.01,1000,1000,50.9417672157288
0.29132416844368,1.41970801353455,0,5,64,256,0.01,1000,2000,100.827961206436
0.0921072363853455,0.0975046306848526,0,5,64,256,0.01,1000,4000,200.800842523575
0.232088774442673,0.401655972003937,0,15,16,64,0.1,500,500,3.06309819221497
0.0543702207505703,0.0604768134653568,0,15,16,64,0.1,500,1000,5.6873505115509
0.0524198785424232,0.0614635199308395,0,15,16,64,0.1,500,2000,11.5116717815399
0.0514605902135372,0.0330081097781658,0,15,16,64,0.1,500,4000,23.1824107170105
0.0613254867494106,0.0732528269290924,0,15,16,64,0.1,1000,500,2.89813566207886
0.0678993165493011,0.11041597276926,0,15,16,64,0.1,1000,1000,5.77615714073181
0.0897776484489441,0.124638982117176,0,15,16,64,0.1,1000,2000,11.6613647937775
0.0399192459881306,0.0332745425403118,0,15,16,64,0.1,1000,4000,23.087299823761
0.839607000350952,0.698019623756409,0,15,16,64,0.01,500,500,2.96338963508606
0.223241552710533,0.446472853422165,0,15,16,64,0.01,500,1000,5.77334594726562
0.177475914359093,0.276439219713211,0,15,16,64,0.01,500,2000,11.5593643188477
0.626177608966827,0.946088433265686,0,15,16,64,0.01,500,4000,23.2355036735535
0.225592792034149,0.421354353427887,0,15,16,64,0.01,1000,500,2.88275599479675
0.0665977522730827,0.0940919518470764,0,15,16,64,0.01,1000,1000,5.74158453941345
0.136711597442627,0.251960784196854,0,15,16,64,0.01,1000,2000,11.5536894798279
0.0466372668743134,0.0405211560428143,0,15,16,64,0.01,1000,4000,23.0171933174133
0.298647165298462,0.477943956851959,0,15,16,128,0.1,500,500,3.07818531990051
0.0895923897624016,0.1204898878932,0,15,16,128,0.1,500,1000,6.24037790298462
0.047697689384222,0.0480339303612709,0,15,16,128,0.1,500,2000,12.3168966770172
0.0453954488039017,0.0409454517066479,0,15,16,128,0.1,500,4000,24.8304717540741
0.133323073387146,0.236902937293053,0,15,16,128,0.1,1000,500,3.09123921394348
0.0687717199325562,0.118489243090153,0,15,16,128,0.1,1000,1000,6.1792471408844
0.0417858026921749,0.0374564193189144,0,15,16,128,0.1,1000,2000,12.4240245819092
0.0392309054732323,0.0416645780205727,0,15,16,128,0.1,1000,4000,24.6477520465851
0.149383023381233,0.232942447066307,0,15,16,128,0.01,500,500,3.07511377334595
0.290551245212555,0.547643184661865,0,15,16,128,0.01,500,1000,6.20600771903992
0.159086748957634,0.182386800646782,0,15,16,128,0.01,500,2000,12.305139541626
0.188660010695457,0.281542956829071,0,15,16,128,0.01,500,4000,24.7369992733002
0.375497817993164,0.476137161254883,0,15,16,128,0.01,1000,500,3.10053038597107
0.0443813167512417,0.0366201587021351,0,15,16,128,0.01,1000,1000,6.17020583152771
0.102944932878017,0.0764930844306946,0,15,16,128,0.01,1000,2000,12.459290266037
0.0426291599869728,0.0547283142805099,0,15,16,128,0.01,1000,4000,24.7735679149628
0.2462357878685,0.472315430641174,0,15,16,256,0.1,500,500,6.91735196113586
0.0664787366986275,0.0779551416635513,0,15,16,256,0.1,500,1000,13.8581552505493
0.0512352660298347,0.0603878758847713,0,15,16,256,0.1,500,2000,27.9165971279144
0.0419626273214817,0.0345288589596748,0,15,16,256,0.1,500,4000,55.8817405700684
0.210193812847137,0.320165455341339,0,15,16,256,0.1,1000,500,7.04660558700562
0.0457144677639008,0.0520153231918812,0,15,16,256,0.1,1000,1000,14.3855094909668
0.0781278908252716,0.0689700990915298,0,15,16,256,0.1,1000,2000,28.7085535526276
0.0582182034850121,0.0617532655596733,0,15,16,256,0.1,1000,4000,57.4253447055817
0.209604322910309,0.398555189371109,0,15,16,256,0.01,500,500,7.17117238044739
0.415740460157394,0.462492853403091,0,15,16,256,0.01,500,1000,14.3628194332123
0.109830737113953,0.222184300422668,0,15,16,256,0.01,500,2000,28.6679575443268
0.107179187238216,0.206068992614746,0,15,16,256,0.01,500,4000,57.4394016265869
0.127121061086655,0.160332679748535,0,15,16,256,0.01,1000,500,7.16822171211243
0.157671466469765,1.00508177280426,0,15,16,256,0.01,1000,1000,14.3907964229584
0.0801550969481468,0.160661891102791,0,15,16,256,0.01,1000,2000,28.6677482128143
0.0459791161119938,0.0436226986348629,0,15,16,256,0.01,1000,4000,55.8558502197266
0.0858225077390671,0.143826261162758,0,15,32,64,0.1,500,500,5.79045581817627
0.044859167188406,0.0455178841948509,0,15,32,64,0.1,500,1000,11.599086523056
0.0444738045334816,0.0368971116840839,0,15,32,64,0.1,500,2000,22.9733686447144
0.0431096963584423,0.0422359146177769,0,15,32,64,0.1,500,4000,46.0182993412018
0.15774393081665,0.127366125583649,0,15,32,64,0.1,1000,500,5.73213696479797
0.136953562498093,0.315008103847504,0,15,32,64,0.1,1000,1000,11.5706596374512
0.0448867119848728,0.0312110483646393,0,15,32,64,0.1,1000,2000,23.0656590461731
0.0407893396914005,0.0290064066648483,0,15,32,64,0.1,1000,4000,46.5859670639038
0.0653061643242836,0.0699403807520866,0,15,32,64,0.01,500,500,5.78595852851868
0.0942022949457169,0.0711006373167038,0,15,32,64,0.01,500,1000,11.6760885715485
0.104582384228706,0.100400000810623,0,15,32,64,0.01,500,2000,23.2146518230438
0.271624863147736,0.614413976669312,0,15,32,64,0.01,500,4000,46.4354465007782
0.156550452113152,0.196715712547302,0,15,32,64,0.01,1000,500,5.88380670547485
0.0883643552660942,0.154829055070877,0,15,32,64,0.01,1000,1000,11.5930593013763
0.130333930253983,0.227639064192772,0,15,32,64,0.01,1000,2000,23.204936504364
0.0547608882188797,0.0596015751361847,0,15,32,64,0.01,1000,4000,46.3470306396484
0.35555574297905,0.546420156955719,0,15,32,128,0.1,500,500,6.22732877731323
0.057727575302124,0.0792824774980545,0,15,32,128,0.1,500,1000,12.5217356681824
0.0409797132015228,0.0324867144227028,0,15,32,128,0.1,500,2000,25.0370118618011
0.0460123270750046,0.0595457032322884,0,15,32,128,0.1,500,4000,50.0197265148163
